chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue),name,mean
chr1,6098148,6098452,305,6098364,12.02,11.8846,7.53821,9.14785,replikate2_peak_58,6098300
chr1,6100989,6101473,485,6101234,42.07,59.0354,24.9364,55.5772,replikate2_peak_59,6101231
chr1,6157835,6158320,486,6158076,70.41,60.8958,14.2817,57.4188,replikate2_peak_60,6158077.5
chr1,6220296,6220546,251,6220451,8.59,5.94877,4.7932,3.44704,replikate2_peak_61,6220421
chr1,6235145,6235561,417,6235338,18.03,19.7364,10.8565,16.8105,replikate2_peak_62,6235353
chr1,6259521,6259785,265,6259664,10.3,9.25544,6.44819,6.61034,replikate2_peak_63,6259653
chr1,6471886,6472180,295,6472037,15.46,13.7026,8.21133,10.9155,replikate2_peak_64,6472033
chr1,6483137,6483540,404,6483334,80.71,41.1252,6.80934,37.8702,replikate2_peak_65,6483338.5
chr1,6611659,6612098,440,6611874,128.8,88.096,10.8163,84.3638,replikate2_peak_66,6611878.5
chr1,6622615,6622999,385,6622791,57.53,61.6679,19.4577,58.1837,replikate2_peak_67,6622807
chr1,6690705,6691003,299,6690834,7.73,5.99129,5.05275,3.48474,replikate2_peak_68,6690854
chr1,6795793,6796044,252,6795906,19.75,13.1909,6.91623,10.4154,replikate2_peak_69,6795918.5
chr1,6819851,6820163,313,6820024,30.91,25.4237,10.637,22.3958,replikate2_peak_70,6820007
chr1,6909797,6910362,566,6910069,55.81,75.2785,28.4058,71.6605,replikate2_peak_71,6910079.5
chr1,6910449,6910844,396,6910676,21.47,21.4658,11.233,18.5051,replikate2_peak_72,6910646.5
chr1,6959399,6960050,652,6959676,311.69,200.607,10.4229,195.918,replikate2_peak_73,6959724.5
chr1,6960317,6960984,668,6960615,174.3,214.121,34.9489,209.318,replikate2_peak_74,6960650.5
chr1,7018742,7019096,355,7018874,13.74,11.3449,7.36911,8.62561,replikate2_peak_75,7018919
chr1,7019505,7019847,343,7019726,24.9,17.2845,7.94739,14.4132,replikate2_peak_76,7019676
chr1,7106768,7107186,419,7106961,50.66,49.1027,15.8514,45.7519,replikate2_peak_77,7106977
chr1,7110278,7110650,373,7110481,18.03,19.7364,10.8565,16.8105,replikate2_peak_78,7110464
chr1,7175706,7176168,463,7175934,16.31,17.1997,10.0237,14.33,replikate2_peak_79,7175937
chr1,7223703,7224339,637,7224013,100.46,83.9605,14.4944,80.2646,replikate2_peak_80,7224021
chr1,7224855,7225108,254,7225008,10.3,9.41099,6.54403,6.75706,replikate2_peak_81,7224981.5
chr1,7228713,7229123,411,7228898,24.9,28.951,14.9946,25.8648,replikate2_peak_82,7228918
chr1,7282861,7283208,348,7283024,24.9,11.8043,5.18011,9.07217,replikate2_peak_83,7283034.5
chr1,7286921,7287429,509,7287169,33.49,38.8919,17.2435,35.6658,replikate2_peak_84,7287175
chr1,7326240,7326747,508,7326510,88.44,76.156,14.9066,72.5314,replikate2_peak_85,7326493.5
chr1,7333062,7333366,305,7333210,18.89,13.1577,7.21439,10.3867,replikate2_peak_86,7333214
chr1,7335276,7336003,728,7335837,34.35,9.2175,3.21323,6.57862,replikate2_peak_87,7335639.5
chr1,7343275,7343844,570,7343607,34.35,45.1607,20.4626,41.8567,replikate2_peak_88,7343559.5
chr1,7447027,7447417,391,7447268,38.64,42.9937,17.5782,39.7172,replikate2_peak_89,7447222
chr1,7447725,7448278,554,7448016,263.6,222.261,16.5376,217.389,replikate2_peak_90,7448001.5
chr1,7471266,7471700,435,7471467,16.31,14.9328,8.63979,12.1145,replikate2_peak_91,7471483
chr1,7529126,7529387,262,7529266,9.45,8.22881,6.04694,5.62202,replikate2_peak_92,7529256.5
chr1,7540798,7541126,329,7540960,15.46,13.7287,8.22775,10.9392,replikate2_peak_93,7540962
chr1,7911889,7912185,297,7912082,18.89,9.25272,4.97252,6.60843,replikate2_peak_94,7912037
chr1,7912439,7912693,255,7912552,8.59,5.93471,4.78363,3.43819,replikate2_peak_95,7912566
chr1,8024862,8025228,367,8024993,30.91,9.27005,3.54567,6.624,replikate2_peak_96,8025045
chr1,8120656,8120936,281,8120757,22.32,11.9534,5.47141,9.21599,replikate2_peak_97,8120796
chr1,8154973,8155228,256,8155093,16.31,10.2513,5.77138,7.56611,replikate2_peak_98,8155100.5
chr1,8169947,8170302,356,8170087,15.46,8.57766,5.04925,5.95885,replikate2_peak_99,8170124.5
chr1,8182276,8182630,355,8182426,30.05,9.27005,3.45026,6.624,replikate2_peak_100,8182453
chr1,8191146,8191623,478,8191379,54.95,57.3998,18.651,53.9582,replikate2_peak_101,8191384.5
chr1,8194357,8194974,618,8194679,71.27,45.9363,9.03338,42.6247,replikate2_peak_102,8194665.5
chr1,8197699,8198394,696,8198086,142.53,180.651,35.8835,176.138,replikate2_peak_103,8198046.5
chr1,8200366,8200781,416,8200577,24.04,18.4988,8.3473,15.5977,replikate2_peak_104,8200573.5
chr1,8202549,8203299,751,8202797,72.13,88.5346,26.5236,84.7981,replikate2_peak_105,8202924
chr1,8204497,8204828,332,8204629,23.18,11.0053,4.83665,8.29984,replikate2_peak_106,8204662.5
chr1,8258909,8259509,601,8259282,68.69,28.8999,5.36086,25.8155,replikate2_peak_107,8259209
chr1,8318088,8318572,485,8318301,26.62,28.4555,13.8089,25.3791,replikate2_peak_108,8318330
chr1,8391096,8391548,453,8391322,20.61,20.1225,10.8037,17.1883,replikate2_peak_109,8391322
chr1,8395518,8395793,276,8395619,12.88,11.8846,8.0353,9.14785,replikate2_peak_110,8395655.5
chr1,8490062,8490411,350,8490238,15.46,15.5993,9.38705,12.7644,replikate2_peak_111,8490236.5
chr1,8712356,8712786,431,8712569,56.67,20.2058,4.43617,17.2699,replikate2_peak_112,8712571
chr1,8742103,8742431,329,8742295,24.04,18.4988,8.3473,15.5977,replikate2_peak_113,8742267
chr1,8915270,8915819,550,8915587,91.87,38.1826,5.4632,34.9666,replikate2_peak_114,8915544.5
chr1,8916490,8916765,276,8916601,18.03,12.9459,6.7795,10.1798,replikate2_peak_115,8916627.5
chr1,8922999,8923277,279,8923151,10.3,9.41099,6.54403,6.75706,replikate2_peak_116,8923138
chr1,8989748,8990302,555,8989970,43.79,33.2099,10.5068,30.061,replikate2_peak_117,8990025
chr1,9038318,9038627,310,9038427,12.88,10.1966,6.93979,7.51667,replikate2_peak_118,9038472.5
chr1,9113014,9113482,469,9113240,51.52,38.3027,10.5037,35.0844,replikate2_peak_119,9113248
chr1,9162945,9163229,285,9163088,13.74,11.3449,7.36911,8.62561,replikate2_peak_120,9163087
chr1,9193397,9194459,1063,9193967,43.79,60.1653,25.5508,56.6971,replikate2_peak_121,9193928
chr1,9303071,9303428,358,9303296,28.34,26.4213,11.7059,23.3769,replikate2_peak_122,9303249.5
chr1,9315511,9315796,286,9315633,9.45,8.22881,6.04694,5.62202,replikate2_peak_123,9315653.5
chr1,9325755,9326262,508,9326016,24.04,28.951,14.4975,25.8648,replikate2_peak_124,9326008.5
chr1,9345930,9346474,545,9346239,48.94,34.9842,9.98849,31.8089,replikate2_peak_125,9346202
chr1,9384619,9384997,379,9384829,63.54,41.8655,9.2199,38.6026,replikate2_peak_126,9384808
chr1,9389721,9390205,485,9389943,40.36,49.8789,20.6367,46.5206,replikate2_peak_127,9389963
chr1,9435152,9435428,277,9435232,15.46,8.57766,5.04925,5.95885,replikate2_peak_128,9435290
chr1,9449109,9449488,380,9449318,25.76,22.6113,10.678,19.6315,replikate2_peak_129,9449298.5
chr1,9450263,9450699,437,9450490,62.68,40.8368,9.09724,37.5853,replikate2_peak_130,9450481
chr1,9476779,9477149,371,9476964,17.17,18.5942,10.5208,15.6905,replikate2_peak_131,9476964
chr1,9482443,9482844,402,9482606,17.17,18.5942,10.5208,15.6905,replikate2_peak_132,9482643.5
chr1,9795015,9795389,375,9795169,13.74,13.1706,8.53239,10.3972,replikate2_peak_133,9795202
chr1,9805169,9805474,306,9805325,15.46,5.31046,3.2911,2.84414,replikate2_peak_134,9805321.5
chr1,9862945,9863278,334,9863113,18.89,12.1886,6.63002,9.44094,replikate2_peak_135,9863111.5
chr1,9950396,9950822,427,9950615,209.51,84.6875,5.53968,80.9847,replikate2_peak_136,9950609
chr1,9951719,9952138,420,9951916,81.57,61.4418,11.7958,57.96,replikate2_peak_137,9951928.5
chr1,10015664,10016016,353,10015820,11.16,9.08008,6.08115,6.44397,replikate2_peak_138,10015840
chr1,10018560,10018932,373,10018706,50.66,49.1027,15.8514,45.7519,replikate2_peak_139,10018746
chr1,10024570,10024868,299,10024710,29.19,22.7545,9.26472,19.7719,replikate2_peak_140,10024719
chr1,10078477,10078826,350,10078624,19.75,13.1909,6.91623,10.4154,replikate2_peak_141,10078651.5
chr1,10083100,10083475,376,10083275,21.47,15.2573,7.48866,12.4305,replikate2_peak_142,10083287.5
chr1,10085188,10085438,251,10085328,10.3,7.99793,5.65184,5.40272,replikate2_peak_143,10085313
chr1,10387626,10387940,315,10387812,27.48,14.2995,5.69529,11.4984,replikate2_peak_144,10387783
chr1,10401000,10401363,364,10401147,8.59,5.94877,4.7932,3.44704,replikate2_peak_145,10401181.5
chr1,10438614,10439240,627,10438906,81.57,98.8506,27.5236,95.025,replikate2_peak_146,10438927
chr1,10482867,10483282,416,10483098,48.94,19.8491,4.99424,16.9205,replikate2_peak_147,10483074.5
chr1,10516391,10516896,506,10516647,52.38,45.6216,13.3442,42.3128,replikate2_peak_148,10516643.5
chr1,10523057,10523407,351,10523266,25.76,7.5446,3.3449,4.9679,replikate2_peak_149,10523232
chr1,10596863,10597113,251,10597048,8.59,5.94877,4.7932,3.44704,replikate2_peak_150,10596988
chr1,10673984,10674234,251,10674038,6.87,4.94527,4.55566,2.50372,replikate2_peak_151,10674109
chr1,10692438,10692923,486,10692651,30.91,25.4237,10.637,22.3958,replikate2_peak_152,10692680.5
chr1,10704651,10705057,407,10704838,19.75,13.1909,6.91623,10.4154,replikate2_peak_153,10704854
chr1,10710522,10710949,428,10710750,35.2,41.9929,18.1021,38.727,replikate2_peak_154,10710735.5
chr1,10731063,10731466,404,10731233,21.47,15.2573,7.48866,12.4305,replikate2_peak_155,10731264.5
chr1,10735669,10736032,364,10735845,14.6,14.4863,9.02949,11.6786,replikate2_peak_156,10735850.5
chr1,10751046,10751566,521,10751312,113.34,152.949,38.1135,148.664,replikate2_peak_157,10751306
chr1,10752321,10752752,432,10752540,49.8,22.7291,5.64456,19.7475,replikate2_peak_158,10752536.5
chr1,10831022,10831303,282,10831140,10.3,9.41099,6.54403,6.75706,replikate2_peak_159,10831162.5
chr1,10893266,10893529,264,10893434,18.03,12.1886,6.34381,9.44094,replikate2_peak_160,10893397.5
chr1,10958735,10958985,251,10958939,6.87,4.94527,4.55566,2.50372,replikate2_peak_161,10958860
chr1,11053407,11053756,350,11053564,19.75,21.4521,12.012,18.4925,replikate2_peak_162,11053581.5
chr1,11080270,11080525,256,11080361,48.08,23.6357,5.92871,20.6376,replikate2_peak_163,11080397.5
chr1,11374344,11374932,589,11374636,109.91,116.487,23.2751,112.51,replikate2_peak_164,11374638
chr1,11485538,11485862,325,11485670,18.03,12.1886,6.34381,9.44094,replikate2_peak_165,11485700
chr1,11794428,11794744,317,11794589,15.46,15.8299,9.52658,12.9905,replikate2_peak_166,11794586
chr1,11975354,11975604,251,11975494,9.45,8.22881,6.04694,5.62202,replikate2_peak_167,11975479
chr1,12148316,12148646,331,12148512,17.17,11.2084,6.05759,8.49558,replikate2_peak_168,12148481
chr1,12193713,12194148,436,12193869,25.76,30.5047,15.4917,27.395,replikate2_peak_169,12193930.5
chr1,12454107,12454399,293,12454284,13.74,11.3222,7.35441,8.60477,replikate2_peak_170,12454253
chr1,12478198,12478557,360,12478428,27.48,12.0029,4.74608,9.2635,replikate2_peak_171,12478377.5
chr1,12485408,12486032,625,12485740,226.68,109.973,6.89942,106.054,replikate2_peak_172,12485720
chr1,12486301,12486852,552,12486590,200.06,238.868,33.5105,233.848,replikate2_peak_173,12486576.5
chr1,12528174,12528912,739,12528618,73.84,68.6355,16.5802,65.0813,replikate2_peak_174,12528543
chr1,12549156,12550219,1064,12549867,81.57,84.84,20.6427,81.1354,replikate2_peak_175,12549687.5
chr1,12600108,12600927,820,12600476,257.59,258.081,23.5083,252.901,replikate2_peak_176,12600517.5
chr1,12615917,12616534,618,12616225,81.57,56.3808,10.3213,52.9509,replikate2_peak_177,12616225.5
chr1,12618549,12618823,275,12618691,18.03,14.3266,7.59434,11.5241,replikate2_peak_178,12618686
chr1,12632980,12633312,333,12633112,15.46,15.8299,9.52658,12.9905,replikate2_peak_179,12633146
chr1,12649973,12650242,270,12650088,12.02,10.1966,6.51047,7.51667,replikate2_peak_180,12650107.5
chr1,13577550,13578019,470,13577777,46.37,66.2206,27.4219,62.6898,replikate2_peak_181,13577784.5
chr1,13757692,13758092,401,13757939,37.78,36.1603,14.0661,32.9692,replikate2_peak_182,13757892
chr1,14282625,14283070,446,14282860,27.48,29.8563,14.2098,26.7565,replikate2_peak_183,14282847.5
chr1,14427024,14427274,251,14427166,11.16,9.08008,6.08115,6.44397,replikate2_peak_184,14427149
chr1,14881128,14881380,253,14881217,18.03,9.25272,4.75786,6.60843,replikate2_peak_185,14881254
chr1,14913807,14914221,415,14913995,38.64,52.0101,22.948,48.6283,replikate2_peak_186,14914014
chr1,14926000,14926414,415,14926196,125.36,76.6173,9.02581,72.9883,replikate2_peak_187,14926207
chr1,14968401,14968651,251,14968495,9.45,6.95302,5.22252,4.40418,replikate2_peak_188,14968526
chr1,14977179,14977726,548,14977454,159.71,135.878,16.0707,131.737,replikate2_peak_189,14977452.5
chr1,15015740,15016302,563,15016053,229.26,240.638,25.5841,235.604,replikate2_peak_190,15016021
chr1,15016768,15017558,791,15017327,140.82,71.1634,7.09084,67.585,replikate2_peak_191,15017163
chr1,15021495,15021785,291,15021691,17.17,12.021,6.53204,9.28099,replikate2_peak_192,15021640
chr1,15025411,15026207,797,15025718,177.74,202.537,29.7897,197.833,replikate2_peak_193,15025809
chr1,15048534,15048962,429,15048741,18.89,17.4659,9.92518,14.5872,replikate2_peak_194,15048748
chr1,15093556,15094000,445,15093775,27.48,29.8563,14.2098,26.7565,replikate2_peak_195,15093778
chr1,15172218,15172468,251,15172310,8.59,7.08752,5.54984,4.52825,replikate2_peak_196,15172343
chr1,15229747,15230368,622,15230044,195.77,266.447,46.1576,261.196,replikate2_peak_197,15230057.5
chr1,15284753,15285323,571,15285134,121.07,50.7228,5.54855,47.3545,replikate2_peak_198,15285038
chr1,15405116,15405649,534,15405395,84.15,140.515,49.2939,136.336,replikate2_peak_199,15405382.5
chr1,15457889,15458272,384,15458049,32.63,8.1324,3.05712,5.53196,replikate2_peak_200,15458080.5
chr1,15463024,15463452,429,15463207,21.47,24.3947,13.0062,21.3842,replikate2_peak_201,15463238
chr1,15463597,15463973,377,15463777,15.46,15.8299,9.52658,12.9905,replikate2_peak_202,15463785
chr1,15559293,15559606,314,15559437,23.18,13.5895,6.04581,10.8046,replikate2_peak_203,15559449.5
chr1,15762568,15762818,251,15762714,10.3,9.41099,6.54403,6.75706,replikate2_peak_204,15762693
chr1,15795188,15795549,362,15795361,13.74,11.3449,7.36911,8.62561,replikate2_peak_205,15795368.5
chr1,15800121,15800824,704,15800359,42.93,14.0129,3.99381,11.2192,replikate2_peak_206,15800472.5
chr1,15911961,15912228,268,15912064,32.63,13.7817,4.80404,10.9906,replikate2_peak_207,15912094.5
chr1,16070045,16070314,270,16070183,8.59,7.08752,5.54984,4.52825,replikate2_peak_208,16070179.5
chr1,16076607,16077253,647,16077016,15.46,13.7287,8.22775,10.9392,replikate2_peak_209,16076930
chr1,16095395,16095696,302,16095571,18.03,9.25272,4.75786,6.60843,replikate2_peak_210,16095545.5
chr1,16143615,16143905,291,16143764,10.3,9.25544,6.44819,6.61034,replikate2_peak_211,16143760
chr1,16173638,16173989,352,16173792,31.77,13.0386,4.68138,10.2704,replikate2_peak_212,16173813.5
chr1,16175820,16176338,519,16176103,72.13,46.9551,9.14071,43.6308,replikate2_peak_213,16176079
chr1,16608247,16608847,601,16608486,35.2,31.5779,12.0681,28.4528,replikate2_peak_214,16608547
chr1,16614366,16614660,295,16614458,20.61,16.5974,8.62224,13.74,replikate2_peak_215,16614513
chr1,17004053,17004323,271,17004182,9.45,8.22881,6.04694,5.62202,replikate2_peak_216,17004188
chr1,17029452,17029833,382,17029637,94.45,40.4924,5.61472,37.247,replikate2_peak_217,17029642.5
chr1,17056148,17056652,505,17056364,18.89,20.0121,11.5149,17.0802,replikate2_peak_218,17056400
chr1,17081275,17081633,359,17081486,9.45,8.22881,6.04694,5.62202,replikate2_peak_219,17081454
chr1,17468966,17469216,251,17469122,10.3,7.99793,5.65184,5.40272,replikate2_peak_220,17469091
chr1,17472675,17473136,462,17472923,29.19,24.2325,10.0646,21.2249,replikate2_peak_221,17472905.5
chr1,17474358,17474763,406,17474517,20.61,14.2141,7.20245,11.4161,replikate2_peak_222,17474560.5
chr1,17475885,17476177,293,17475947,12.02,11.8846,7.53821,9.14785,replikate2_peak_223,17476031
chr1,17502640,17503083,444,17502940,19.75,10.0802,5.18718,7.40859,replikate2_peak_224,17502861.5
chr1,17510784,17511320,537,17511015,30.91,34.3355,15.9555,31.17,replikate2_peak_225,17511052
chr1,17520236,17520987,752,17520672,265.32,204.992,14.0168,200.266,replikate2_peak_226,17520611.5
chr1,17524974,17525568,595,17525246,150.26,132.02,16.8069,127.914,replikate2_peak_227,17525271
chr1,17529273,17530101,829,17529595,164.86,128.652,13.8216,124.572,replikate2_peak_228,17529687
chr1,17550994,17551255,262,17551170,20.61,10.897,5.38568,8.19609,replikate2_peak_229,17551124.5
chr1,17559770,17560433,664,17560038,259.31,241.187,20.0238,236.149,replikate2_peak_230,17560101.5
chr1,17561470,17561950,481,17561692,56.67,28.5417,6.4078,25.4641,replikate2_peak_231,17561710
chr1,17577487,17578087,601,17577813,62.68,87.6172,31.7768,83.8903,replikate2_peak_232,17577787
chr1,17582265,17582624,360,17582427,23.18,13.5895,6.04581,10.8046,replikate2_peak_233,17582444.5
chr1,17599606,17599930,325,17599806,20.61,18.1564,9.58197,15.2648,replikate2_peak_234,17599768
chr1,17834265,17834830,566,17834552,37.78,27.8561,9.69503,24.7857,replikate2_peak_235,17834547.5
chr1,17878948,17879307,360,17879127,15.46,13.7287,8.22775,10.9392,replikate2_peak_236,17879127.5
chr1,17892319,17892596,278,17892481,11.16,5.86499,4.0541,3.37483,replikate2_peak_237,17892457.5
chr1,17911974,17912273,300,17912110,49.8,28.1271,7.2573,25.054,replikate2_peak_238,17912123.5
chr1,18132194,18132478,285,18132395,17.17,12.1216,6.59151,9.38026,replikate2_peak_239,18132336
chr1,18190369,18190851,483,18190649,36.92,37.1957,15.1323,33.9908,replikate2_peak_240,18190610
chr1,18201980,18202248,269,18202146,11.16,9.08008,6.08115,6.44397,replikate2_peak_241,18202114
chr1,18320055,18320512,458,18320266,59.25,42.1164,10.041,38.8485,replikate2_peak_242,18320283.5
chr1,18323119,18323478,360,18323261,15.46,15.5993,9.38705,12.7644,replikate2_peak_243,18323298.5
chr1,18365770,18366563,794,18366133,214.66,244.957,30.8085,239.887,replikate2_peak_244,18366166.5
chr1,18369282,18369769,488,18369504,35.2,45.822,20.3612,42.5115,replikate2_peak_245,18369525.5
chr1,18384078,18384411,334,18384263,13.74,13.1706,8.53239,10.3972,replikate2_peak_246,18384244.5
chr1,18398584,18398855,272,18398714,19.75,10.0802,5.18718,7.40859,replikate2_peak_247,18398719.5
chr1,18429832,18430083,252,18429920,34.35,11.7722,3.92729,9.04406,replikate2_peak_248,18429957.5
chr1,18464588,18465003,416,18464820,35.2,18.5163,6.03403,15.6143,replikate2_peak_249,18464795.5
chr1,18485549,18485810,262,18485658,9.45,6.95302,5.22252,4.40418,replikate2_peak_250,18485679.5
chr1,18931628,18932007,380,18931857,30.91,34.3355,15.9555,31.17,replikate2_peak_251,18931817.5
chr1,19007519,19007974,456,19007746,37.78,27.8561,9.69503,24.7857,replikate2_peak_252,19007746.5
chr1,19010508,19010881,374,19010694,24.9,25.5663,12.9244,22.5344,replikate2_peak_253,19010694.5
chr1,19401183,19401528,346,19401391,45.51,24.4923,6.64398,21.4795,replikate2_peak_254,19401355.5
chr1,19425714,19426183,470,19425950,103.9,117.682,26.2238,113.695,replikate2_peak_255,19425948.5
chr1,19426813,19427694,882,19427438,182.03,118.252,10.1684,114.259,replikate2_peak_256,19427253.5
chr1,19448629,19448919,291,19448831,16.31,13.3879,7.67811,10.6081,replikate2_peak_257,19448774
chr1,19472045,19472500,456,19472229,68.69,52.1437,11.6152,48.7603,replikate2_peak_258,19472272.5
chr1,19486688,19487003,316,19486824,14.6,12.4985,7.78287,9.74363,replikate2_peak_259,19486845.5
chr1,19487665,19487956,292,19487831,11.16,9.08008,6.08115,6.44397,replikate2_peak_260,19487810.5
chr1,19582081,19582610,530,19582361,81.57,123.106,41.2854,119.074,replikate2_peak_261,19582345.5
chr1,19592423,19593603,1181,19592656,49.8,64.9088,25.4005,61.3912,replikate2_peak_262,19593013
chr1,19596483,19597559,1077,19596831,111.62,106.163,18.7705,102.273,replikate2_peak_263,19597021
chr1,19607179,19607604,426,19607470,13.74,10.0667,6.5358,7.39685,replikate2_peak_264,19607391.5
chr1,19619806,19620120,315,19619946,13.74,11.3222,7.35441,8.60477,replikate2_peak_265,19619963
chr1,20105935,20106212,278,20106023,12.02,10.1966,6.51047,7.51667,replikate2_peak_266,20106073.5
chr1,20108981,20109390,410,20109164,16.31,14.9606,8.65707,12.1406,replikate2_peak_267,20109185.5
chr1,20211533,20211845,313,20211683,10.3,9.40745,6.54185,6.7563,replikate2_peak_268,20211689
chr1,20355815,20356261,447,20356016,32.63,35.9808,15.98,32.7925,replikate2_peak_269,20356038
